TimeStamp (ms), Device type, Position x, Position y, Position z, Rotation w, Rotation x, Rotation y, Rotation z, Primary value, Nib value, Grip value, Touchpad X value, Touchpad Y value, Button AX, Button BY
3.836309, Primary, 0.2239723, 0.8758005, 0.2551562, 0.9966068, 0.05517878, -0.01167139, 0.0599497, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.836309, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639629, 0.2414316, -0.1833717, -0.4020614, 0, 0, 0, 0, 0, 0, 0
3.849022, Hmd, 0.03460184, 1.142068, -0.03148304, 0.9603783, 0.1786907, 0.2137933, 0.005980618, 0, 0, 0, 0, 0, 0, 0
3.849022, Primary, 0.224843, 0.8769665, 0.2544512, 0.9965683, 0.05477666, -0.01105831, 0.06106368, 0, 0, 0, -0.00779736, -0.001846313, 0, 0
3.849022, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639627, 0.2414318, -0.1833716, -0.402062, 0, 0, 0, 0, 0, 0, 0
3.862677, Hmd, 0.0354369, 1.141618, -0.03104872, 0.9591519, 0.1809378, 0.217382, 0.005845081, 0, 0, 0, 0, 0, 0, 0
3.862677, Primary, 0.2258455, 0.8782616, 0.2536963, 0.9965124, 0.05447938, -0.01038204, 0.06234712, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.862677, Ndh, -0.3318572, 0.7379246, 0.3387066, 0.8639637, 0.2414313, -0.1833719, -0.4020603, 0, 0, 0, 0, 0, 0, 0
3.890598, Hmd, 0.03721341, 1.141187, -0.030857, 0.9571874, 0.1842266, 0.223168, 0.007007476, 0, 0, 0, 0, 0, 0, 0
3.890598, Primary, 0.228147, 0.8814996, 0.2520407, 0.9965822, 0.05345748, -0.009834676, 0.06220534, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
3.890598, Ndh, -0.3318572, 0.7379245, 0.3387066, 0.8639618, 0.2414318, -0.1833716, -0.4020641, 0, 0, 0, 0, 0, 0, 0
3.904522, Hmd, 0.03814235, 1.140764, -0.03050277, 0.9561817, 0.1854024, 0.2264569, 0.007728189, 0, 0, 0, 0, 0, 0, 0
3.904522, Primary, 0.2294836, 0.8834521, 0.2512182, 0.9966012, 0.05266127, -0.01012321, 0.06253199, 0, 0, 0, -0.007827878, -0.001846313, 0, 0
